iter	RMSE
130	5.100030691
131	5.094688168
132	5.088903275
133	5.083570726
134	5.077768767
135	5.074966991
136	5.069050017
137	5.063875605
138	5.059263537
139	5.053055482
140	5.046748279
141	5.04456423
142	5.042544869
143	5.038319886
144	5.031954329
145	5.025433111
146	5.022772479
147	5.01856609
148	5.015310536
149	5.011450093
150	5.006841998
151	5.003461103
152	4.997316153
153	4.992254281
154	4.991867081
155	4.987094736
156	4.982175847
157	4.977230222
158	4.973254362
159	4.96712774
160	4.961425261
161	4.95456988
162	4.951243998
163	4.94858128
164	4.947469376
165	4.945444765
166	4.939438683
167	4.935032105
168	4.928526567
169	4.926154934
170	4.921271403
171	4.919064646
172	4.91405033
173	4.910401062
174	4.904138721
175	4.899084263
176	4.894267377
177	4.892116535
178	4.887142578
179	4.886789083
180	4.882117307
181	4.877747469
182	4.870680245
183	4.868091548
184	4.862748756
185	4.858460383
186	4.856296152
187	4.853001635
188	4.848454081
189	4.846116641
190	4.842459523
191	4.83591413
192	4.832759996
193	4.827436188
194	4.822591976
195	4.819019219
196	4.815309079
197	4.812988059
198	4.807366201
199	4.805166118
200	4.80323866
201	4.802333497
202	4.799207127
203	4.796430682
204	4.792531014
205	4.788789384
206	4.78690938
207	4.785333286
208	4.783258026
209	4.778074163
210	4.773111083
211	4.77055935
212	4.768673766
213	4.765718539
214	4.761905062
215	4.75690505
216	4.754135787
217	4.748684077
218	4.745629674
219	4.744410033
220	4.739354621
221	4.734954155
222	4.730202111
223	4.726827018
224	4.722703856
225	4.720359961
226	4.716076931
227	4.712162036
228	4.705758594
229	4.703806286
230	4.700364092
231	4.69832296
232	4.697153567
233	4.694498846
234	4.693000801
235	4.685435481
236	4.68021897
237	4.674191107
238	4.666343965
239	4.663471031
240	4.659910864
241	4.654712092
242	4.650977933
243	4.647629503
244	4.6451558
245	4.640226145
246	4.638355651
247	4.634767622
248	4.634333203
249	4.628973921
250	4.624346999
251	4.617188676
252	4.61236427
253	4.606424091
254	4.603785585
255	4.600340613
256	4.598635024
257	4.590418051
258	4.585700332
259	4.581340588
260	4.579633585
261	4.577000295
262	4.572500372
263	4.566895678
264	4.562403483
265	4.55880605
266	4.557456646
267	4.556587651
268	4.555415993
269	4.550757022
270	4.546552566
271	4.542375199
272	4.538258349
273	4.533596533
274	4.52900025
275	4.524163258
276	4.521056258
277	4.517754563
278	4.513794278
279	4.509547195
280	4.506053197
281	4.502699395
282	4.500199445
283	4.497558422
284	4.49529087
285	4.492035313
286	4.490184642
287	4.487821607
288	4.485379935
289	4.484868551
290	4.482525362
291	4.478135653
292	4.476463454
293	4.47291461
294	4.472424959
295	4.469537788
296	4.465698072
297	4.459983505
298	4.454595638
299	4.449120674
300	4.4446231
301	4.441920032
302	4.438918326
303	4.434531992
304	4.429666388
305	4.429194284
306	4.42309517
307	4.422671808
308	4.418175124
309	4.414653502
310	4.410335114
311	4.405668436
312	4.400815903
313	4.396695535
314	4.391986025
315	4.390516841
316	4.386900644
317	4.38153347
318	4.381135362
319	4.376546479
320	4.372394806
321	4.368664414
322	4.362917897
323	4.362566804
324	4.359033344
325	4.35471019
326	4.350603133
327	4.347710801
328	4.344610966
329	4.342345437
330	4.339250187
331	4.334999047
332	4.330740276
333	4.330251494
334	4.326069046
335	4.322018849
336	4.317464547
337	4.310886432
338	4.307259935
339	4.303433303
340	4.299234195
341	4.298478766
342	4.294672804
343	4.294097401
344	4.289747544
345	4.284666436
346	4.278431527
347	4.276239347
348	4.274749584
349	4.272457014
350	4.270563998
351	4.26487887
352	4.260357632
353	4.255774301
354	4.253696384
355	4.252648758
356	4.249458373
357	4.244559206
358	4.242432469
359	4.240839456
360	4.2398428
361	4.236907368
362	4.236612247
363	4.236228244
364	4.231259354
365	4.225149478
366	4.221169611
367	4.217074016
368	4.214584335
369	4.212996489
370	4.211459352
371	4.211120315
372	4.207465922
373	4.203166953
374	4.201492503
375	4.200484059
376	4.198088511
377	4.193424108
378	4.188922893
379	4.188350419
380	4.185492162
381	4.185175057
382	4.184306284
383	4.181126496
384	4.177107298
385	4.172835878
386	4.167942463
387	4.167691014
388	4.166420278
389	4.161712181
390	4.15744621
391	4.156084388
392	4.151940937
393	4.148817575
394	4.148603377
395	4.147147124
396	4.145809579
397	4.143065007
398	4.139003876
399	4.138381372
400	4.138181689
401	4.134302593
402	4.12986432
403	4.125266995
404	4.123090027
405	4.120860421
406	4.117366231
407	4.113411905
408	4.107752472
409	4.101659945
410	4.099901858
411	4.09724033
412	4.095381959
413	4.089829226
414	4.088564888
415	4.084605405
416	4.084336699
417	4.08411551
418	4.081741629
419	4.078586444
420	4.074514153
421	4.072717882
422	4.069105
423	4.067148048
424	4.065810227
425	4.065657322
426	4.060819555
427	4.056946335
428	4.053776203
429	4.050710387
430	4.049261058
431	4.045636245
432	4.041503045
433	4.039152323
434	4.035500243
435	4.033531496
436	4.030939074
437	4.030712592
438	4.027566091
439	4.025744893
440	4.025553488
441	4.022706506
442	4.021276169
443	4.01772233
444	4.015724998
445	4.012596657
446	4.010373356
447	4.005764038
448	4.003055186
449	3.998982205
450	3.998533735
451	3.994746748
452	3.994575324
453	3.993112922
454	3.991720963
455	3.986877591
456	3.984356995
457	3.984158221
458	3.979009465
459	3.974086149
460	3.971803515
461	3.96869659
462	3.965946461
463	3.965313537
464	3.962399546
465	3.960943076
466	3.95973432
467	3.95535958
468	3.954233387
469	3.951181455
470	3.948577333
471	3.9447853
472	3.940175953
473	3.938631848
474	3.937142974
475	3.932578901
476	3.927399287
477	3.927221048
478	3.924536125
479	3.920114812
480	3.919934244
481	3.916544941
482	3.914106142
483	3.913565162
484	3.910099717
485	3.907310735
486	3.905827771
487	3.902093762
488	3.898021517
489	3.8943063
490	3.892015145
491	3.890601432
492	3.888010667
493	3.887684947
494	3.886518286
495	3.881754157
496	3.878639475
497	3.876861046
498	3.873278621
499	3.869291656
500	3.865792966
501	3.862826187
502	3.858299409
503	3.853645985
504	3.853121874
505	3.849421403
506	3.843813657
507	3.840375082
508	3.838701608
509	3.837214238
510	3.836939235
511	3.833889577
512	3.832576506
513	3.830684097
514	3.825999645
515	3.825622854
516	3.821988558
517	3.820356471
518	3.81897097
519	3.818707411
520	3.815822962
521	3.814257175
522	3.809152109
523	3.806570102
524	3.804275006
525	3.804128519
526	3.803635546
527	3.803498521
528	3.80129546
529	3.798219201
530	3.793771714
531	3.789606173
532	3.786075504
533	3.782819093
534	3.779315417
535	3.775955603
536	3.773317535
537	3.771245907
538	3.770041644
539	3.765710273
540	3.761529039
541	3.760772466
542	3.758574999
543	3.757298069
544	3.754297775
545	3.75169227
546	3.748527187
547	3.747568587
548	3.744666595
549	3.742041475
550	3.741220713
551	3.740094559
552	3.739851099
553	3.735935965
554	3.734042151
555	3.731334817
556	3.727153328
557	3.723640593
558	3.720928819
559	3.72078853
560	3.720620855
561	3.718537154
562	3.716971202
563	3.713455755
564	3.710028903
565	3.709817609
566	3.7088133
567	3.706257569
568	3.703679822
569	3.702327484
570	3.699586371
571	3.696782642
572	3.696500419
573	3.694426681
574	3.692114255
575	3.690556602
576	3.686627319
577	3.684214144
578	3.683284048
579	3.680991434
580	3.678305151
581	3.675419931
582	3.673474211
583	3.672032615
584	3.67041556
585	3.670319487
586	3.669278829
587	3.666741831
588	3.663630009
589	3.661426094
590	3.661033397
591	3.658393901
592	3.656409441
593	3.654268551
594	3.651529806
595	3.649205457
596	3.645331889
597	3.642084934
598	3.64194646
599	3.641800235
600	3.638110989
601	3.636249557
602	3.633137498
603	3.632194523
604	3.62997809
605	3.629445675
606	3.627706613
607	3.625045977
608	3.623352311
609	3.62188332
610	3.62012337
611	3.617619341
612	3.614769112
613	3.612842227
614	3.609943529
615	3.60973901
616	3.607568715
617	3.605144259
618	3.603025245
619	3.602151999
620	3.600901493
621	3.596940882
622	3.596258794
623	3.594676953
624	3.590333445
625	3.590085228
626	3.58979097
627	3.587389788
628	3.585053112
629	3.582606535
630	3.582337175
631	3.579141283
632	3.575936274
633	3.574457168
634	3.572420593
635	3.571191246
636	3.570166206
637	3.567594706
638	3.565599021
639	3.565347328
640	3.56431534
641	3.562103599
642	3.560037683
643	3.55737966
644	3.556046626
645	3.553229151
646	3.548596979
647	3.547804267
648	3.54761194
649	3.544963386
650	3.542642509
651	3.542426536
652	3.539189225
653	3.538790971
654	3.536893357
655	3.53497243
656	3.53184775
657	3.530673617
658	3.529293434
659	3.527973448
660	3.525850689
661	3.523901818
662	3.519814187
663	3.519713249
664	3.51961362
665	3.518548728
666	3.518428174
667	3.515897851
668	3.514611591
669	3.510875824
670	3.508828134
671	3.507560552
672	3.505686814
673	3.504986
674	3.50335649
675	3.502638576
676	3.500751343
677	3.49900472
678	3.498543748
679	3.496769738
680	3.495485079
681	3.495369095
682	3.49406816
683	3.492043402
684	3.491385428
685	3.488933582
686	3.485899174
687	3.485807317
688	3.484551997
689	3.481942317
690	3.479056778
691	3.475984875
692	3.474683177
693	3.471961743
694	3.471709057
695	3.468848412
696	3.467943427
697	3.463606531
698	3.461410407
699	3.458822201
700	3.458625987
701	3.45776257
702	3.456538207
703	3.456359732
704	3.453331642
705	3.452605734
706	3.449650391
707	3.447588529
708	3.444424039
709	3.441923072
710	3.440395587
711	3.437954557
712	3.437723487
713	3.437466332
714	3.435281641
715	3.431855668
716	3.428811096
717	3.426191121
718	3.42358838
719	3.422313743
720	3.419318886
721	3.416398521
722	3.41464254
723	3.414409276
724	3.411134779
725	3.410228045
726	3.408651524
727	3.406205064
728	3.405569614
729	3.403321084
730	3.401946642
731	3.398205455
732	3.396852675
733	3.395282316
734	3.394400949
735	3.394039948
736	3.391256609
737	3.389396326
738	3.386657676
739	3.385549846
740	3.385016247
741	3.384023805
742	3.382137467
743	3.379648321
744	3.377597183
745	3.377034893
746	3.375218569
747	3.373274225
748	3.370724082
749	3.369363154
750	3.366482694
751	3.365809757
752	3.364604478
753	3.362642554
754	3.360230626
755	3.360148433
756	3.359613114
757	3.356589036
758	3.355940594
759	3.354613963
760	3.352964612
761	3.350465271
762	3.348753235
763	3.346460751
764	3.345685812
765	3.343858945
766	3.342557869
767	3.340413835
768	3.336481253
769	3.335382152
770	3.334739672
771	3.331781815
772	3.328023795
773	3.326849698
774	3.325156164
775	3.324509286
776	3.322119781
777	3.318121996
778	3.316328423
779	3.31407178
780	3.313871692
781	3.312086314
782	3.31200727
783	3.308653424
784	3.307312468
785	3.305521481
786	3.301156137
787	3.296942504
788	3.294807382
789	3.291766538
790	3.291405285
791	3.290103926
792	3.288127062
793	3.285541487
794	3.285417202
795	3.284776064
796	3.283282136
797	3.283039161
798	3.282620993
799	3.282008766
800	3.279132939
801	3.276731537
802	3.276581282
803	3.275104467
804	3.272964165
805	3.27172473
806	3.271290881
807	3.269116787
808	3.26807779
809	3.265818916
810	3.26390354
811	3.26278378
812	3.260774412
813	3.257318862
814	3.256754148
815	3.256439969
816	3.254934442
817	3.254179515
818	3.253535292
819	3.252505347
820	3.25243348
821	3.251459271
822	3.24997035
823	3.247859353
824	3.244990247
825	3.243581989
826	3.241331869
827	3.238916351
828	3.236990433
829	3.234013064
830	3.232228151
831	3.230064514
832	3.230013598
833	3.228717431
834	3.225982218
835	3.223059885
836	3.22168973
837	3.220248638
838	3.217393453
839	3.214750246
840	3.212650775
841	3.210974141
842	3.209452883
843	3.208632432
844	3.207428041
845	3.20673598
846	3.205929561
847	3.203576643
848	3.201558361
849	3.200863113
850	3.198188264
851	3.19735816
852	3.195685288
853	3.193875806
854	3.191563191
855	3.189878361
856	3.187048186
857	3.185869013
858	3.182243734
859	3.179868195
860	3.17903445
861	3.176996525
862	3.175393623
863	3.174509054
864	3.174467328
865	3.173779533
866	3.173057079
867	3.169755834
868	3.167017379
869	3.166132867
870	3.164737007
871	3.164586571
872	3.163751984
873	3.162005282
874	3.161178355
875	3.160576791
876	3.160545592
877	3.159143302
878	3.15662982
879	3.154531131
880	3.153253237
881	3.152374348
882	3.151487339
883	3.150418143
884	3.148478424
885	3.147611227
886	3.145106079
887	3.14336509
888	3.142412969
889	3.140763082
890	3.13801226
891	3.137598726
892	3.135852063
893	3.134291423
894	3.133366985
895	3.130631684
896	3.128999274
897	3.1277347
898	3.127219731
899	3.12634148
900	3.125568236
901	3.125484134
902	3.122363741
903	3.121260474
904	3.119978561
905	3.117250259
906	3.114008982
907	3.111990832
908	3.111947304
909	3.110613137
910	3.110007754
911	3.108017939
912	3.105227491
913	3.103715452
914	3.103281816
915	3.10066101
916	3.098845755
917	3.095788923
918	3.095223253
919	3.093384053
920	3.092680191
921	3.092270665
922	3.090754001
923	3.08975475
924	3.087878438
925	3.086643432
926	3.08515197
927	3.083605229
928	3.081447958
929	3.079580418
930	3.07674704
931	3.076195689
932	3.074207135
933	3.07201638
934	3.069091576
935	3.068055835
936	3.066250544
937	3.063536769
938	3.062412998
939	3.061417992
940	3.058855074
941	3.056724261
942	3.055837347
943	3.053522885
944	3.051600397
945	3.049679397
946	3.048121886
947	3.046901339
948	3.046646571
949	3.044488765
950	3.044138429
951	3.042307486
952	3.041381234
953	3.039840875
954	3.039270085
955	3.037047385
956	3.035974169
957	3.033471875
958	3.03255436
959	3.032495645
960	3.032404799
961	3.03230948
962	3.029323087
963	3.029181189
964	3.028121445
965	3.028066868
966	3.025695794
967	3.024957645
968	3.020727261
969	3.018837983
970	3.018003019
971	3.016274895
972	3.013476238
973	3.012142094
974	3.009531584
975	3.008323231
976	3.008181137
977	3.005642343
978	3.003140579
979	3.000730588
980	2.999780818
981	2.998943146
982	2.998417704
983	2.996899847
984	2.996054595
985	2.996003631
986	2.993775717
987	2.992432616
988	2.991420898
989	2.99092285
990	2.988949443
991	2.987751178
992	2.986350678
993	2.985452477
994	2.983475153
995	2.982816218
996	2.98067059
997	2.978732496
998	2.977388616
999	2.977223964
